Delegado;Tiempo de respuesta;Uso de CPU;Transacciones perdidas
0;497.596253;1.2;0
1;431.822472;5.8;0
2;412.46957;4.8;0
3;437.580817;3.7;0
4;412.754336;3.7;0
5;495.438061;5.2;0
6;441.275423;0.9;0
7;394.543178;2.0;0
8;430.349829;0.0;0
9;437.987454;5.4;0
10;437.145495;0.9;0
11;424.683821;0.0;0
12;438.35166;0.0;0
13;433.835258;0.9;0
14;412.484765;0.9;0
15;442.006763;0.9;0
16;409.296986;2.9;0
17;428.430779;1.8;0
18;416.973998;0.0;0
19;444.841379;0.9;0
20;395.665867;0.0;0
21;397.217502;1.9;0
22;413.334874;0.9;0
23;416.293278;0.0;0
24;432.663246;0.0;0
25;430.806021;0.0;0
26;442.544172;0.9;0
27;409.221189;0.9;0
28;416.607391;0.0;0
29;430.235275;1.8;0
30;430.224857;0.9;0
31;417.555583;0.0;0
32;428.256194;1.8;0
33;418.461415;0.0;0
34;430.065817;1.8;0
35;433.033773;0.0;0
36;417.66607;1.8;0
37;435.490098;0.9;0
38;395.49865;0.0;0
39;414.563923;0.9;0
40;430.77474;0.9;0
41;389.382626;0.0;0
42;402.838476;1.0;0
43;425.378929;0.0;0
44;400.305573;0.9;0
45;417.656954;0.0;0
46;411.219561;0.9;0
47;439.664997;0.9;0
48;419.476732;1.8;0
49;437.028342;2.7;0
50;435.233566;1.8;0
51;392.208303;0.0;0
52;430.159521;0.9;0
53;405.917188;0.9;0
54;429.676524;0.9;0
55;413.997079;0.0;0
56;426.076062;0.0;0
57;420.477427;0.0;0
58;442.116313;1.8;0
59;418.60366;0.0;0
60;428.083272;0.0;0
61;426.217369;0.9;0
62;436.92373;0.9;0
63;392.057564;0.0;0
64;417.25348;0.9;0
65;434.13632;0.9;0
66;423.32713;0.0;0
67;416.91161;1.8;0
68;414.230884;0.0;0
69;427.527228;1.8;0
70;429.743554;1.8;0
71;413.296934;0.0;0
72;410.107448;0.0;0
73;414.171526;0.0;0
74;395.843086;0.0;0
75;398.033533;1.0;0
76;416.118464;0.9;0
77;407.06445;0.0;0
78;405.250388;0.9;0
79;414.177995;0.0;0
80;436.066993;0.0;0
81;410.257482;0.9;0
82;412.16963;0.0;0
83;429.087982;0.0;0
84;430.198349;1.8;0
85;433.045548;0.9;0
86;412.2355;0.0;0
87;429.028176;0.0;0
88;411.011302;0.0;0
89;433.869338;0.9;0
90;426.995744;0.9;0
91;432.5626;0.9;0
92;436.417601;0.0;0
93;409.900443;0.9;0
94;424.179695;0.9;0
95;423.657399;0.0;0
96;423.11793;0.0;0
97;429.114243;4.6;0
98;428.146415;0.0;0
99;423.232612;2.8;0
100;419.102215;0.9;0
101;416.2983;0.9;0
102;412.097379;0.0;0
103;413.248789;0.0;0
104;397.071308;0.0;0
105;407.159948;2.8;0
106;430.28602;0.0;0
107;437.056475;0.0;0
108;418.117043;0.0;0
109;406.481993;1.9;0
110;413.848428;0.0;0
111;429.349621;0.9;0
112;423.174049;0.9;0
113;435.002978;0.9;0
114;422.215527;0.0;0
115;432.05509;0.9;0
116;413.130238;0.0;0
117;426.254737;0.0;0
118;465.950566;0.9;0
119;419.149838;0.9;0
120;419.209749;0.0;0
121;423.15447;0.9;0
122;417.123744;1.8;0
123;438.406261;0.9;0
124;434.740498;0.0;0
125;423.76985;0.9;0
126;413.118557;0.0;0
127;437.073633;0.0;0
128;438.591592;2.7;0
129;432.001012;0.0;0
130;443.149082;1.8;0
131;421.050319;0.0;0
132;406.06227;0.9;0
133;427.730694;0.9;0
134;423.142381;0.9;0
135;424.30605;0.9;0
136;393.199814;0.0;0
137;400.694868;0.0;0
138;422.259672;0.9;0
139;380.246952;1.0;0
140;438.223986;0.0;0
141;428.986363;0.0;0
142;422.95228;0.9;0
143;438.192786;0.9;0
144;410.884715;0.0;0
145;437.179306;0.9;0
146;434.259329;0.9;0
147;443.091906;0.9;0
148;437.583309;2.7;0
149;421.878322;2.7;0
150;423.016289;0.0;0
151;411.939629;0.0;0
152;423.108007;0.0;0
153;412.150219;1.8;0
154;427.119136;0.0;0
155;417.454203;0.0;0
156;412.69715;0.0;0
157;413.071877;0.0;0
158;398.021993;0.9;0
159;415.898765;0.9;0
160;408.363309;0.0;0
161;398.979656;0.0;0
162;438.189281;0.0;0
163;420.852162;1.8;0
164;430.05595;3.6;0
165;424.865597;0.9;0
166;419.038982;0.0;0
167;410.45128;1.9;0
168;433.051014;0.9;0
169;399.669419;0.9;0
170;406.043535;0.0;0
171;424.990836;0.0;0
172;433.02403;0.9;0
173;419.163166;0.9;0
174;406.385577;0.0;0
175;412.472036;1.9;0
176;421.940461;0.0;0
177;398.86943;0.0;0
178;430.010508;0.9;0
179;424.406198;3.7;0
180;403.016429;0.0;0
181;434.092895;1.8;0
182;405.927079;0.0;0
183;394.138456;1.0;0
184;430.935555;0.0;0
185;429.143303;0.0;0
186;430.211986;0.0;0
187;412.943712;0.0;0
188;404.084452;1.9;0
189;383.833681;0.0;0
190;411.980945;0.9;0
191;422.081593;1.8;0
192;393.121774;0.0;0
193;423.94097;0.0;0
194;410.606397;0.0;0
195;406.994792;0.9;0
196;428.315988;2.7;0
197;392.208652;0.0;0
198;403.144124;0.9;0
199;414.641858;0.9;0
200;417.063597;0.0;0
201;411.001925;0.9;0
202;406.042113;0.0;0
203;420.008992;0.9;0
204;412.882648;3.7;0
205;426.485432;0.0;0
206;429.988704;0.9;0
207;406.952733;0.0;0
208;421.608049;0.9;0
