Delegado;Tiempo de respuesta;Uso de CPU;Transacciones perdidas
0;476.928649;0.0;0
1;485.462497;1.0;0
2;421.672965;9.7;0
3;423.788539;0.0;0
5;422.278264;100.0;0
4;425.67903;8.4;0
7;420.134919;3.8;0
6;475.33631;20.0;0
9;410.147578;5.0;0
8;432.379302;0.0;0
11;383.703577;3.0;0
10;416.766921;0.0;0
12;398.403088;2.1;0
13;397.05303;0.0;0
14;421.26852;2.0;0
15;397.062262;50.0;0
16;417.295323;0.9;0
17;422.687796;0.0;0
18;424.826922;0.9;0
19;422.666179;50.0;0
20;394.488148;1.0;0
21;422.985475;0.0;0
23;386.514827;0.0;0
22;418.552435;2.0;0
24;402.266085;0.0;0
25;394.390931;2.0;0
26;400.2615;0.0;0
27;424.091934;20.0;0
28;404.245017;1.0;0
29;387.109658;0.0;0
30;403.652943;0.0;0
31;428.40231;16.6;0
32;420.532855;2.0;0
33;408.205795;0.0;0
34;411.798534;3.0;0
35;417.282375;0.0;0
36;399.418203;1.0;0
37;401.451638;0.0;0
38;422.805956;1.0;0
39;432.231232;14.2;0
40;394.440425;1.0;0
41;424.432648;0.0;0
42;397.949141;2.2;0
43;405.174147;0.0;0
44;396.43267;1.1;0
45;429.25003;0.0;0
46;411.238585;2.4;0
47;405.98138;0.0;0
48;402.968358;2.5;0
49;417.187024;7.6;0
50;402.823438;0.0;0
51;421.296936;6.0;0
52;417.231237;1.3;0
53;419.194317;3.0;0
54;398.442617;2.8;0
55;407.078928;0.0;0
56;426.055644;1.3;0
57;416.409208;0.0;0
58;415.368832;0.0;0
59;381.502954;0.0;0
60;428.402563;1.2;0
61;432.690418;4.5;0
62;424.097514;1.1;0
63;421.904692;5.0;0
64;382.620131;1.2;0
65;385.633928;0.0;0
66;424.359916;3.4;0
67;410.854617;0.0;0
68;419.430284;1.1;0
69;399.634352;6.6;0
70;390.395157;0.0;0
71;422.299603;0.0;0
72;402.376889;0.0;0
73;413.946091;3.8;0
74;400.300254;0.0;0
75;417.326447;3.3;0
76;419.164324;1.3;0
77;434.597736;0.0;0
78;417.29491;1.3;0
79;398.493944;3.2;0
80;416.08077;1.3;0
81;413.00773;0.0;0
82;399.097806;0.0;0
83;385.307138;0.0;0
84;419.408504;1.2;0
85;425.369524;4.0;0
86;415.644064;1.2;0
87;398.105676;0.0;0
88;418.011903;1.2;0
89;422.214912;0.0;0
90;418.245879;3.5;0
91;405.701046;0.0;0
92;399.247167;0.0;0
93;421.791979;0.0;0
94;388.050535;0.0;0
95;416.225679;6.0;0
96;380.799816;0.0;0
97;424.475517;0.0;0
98;395.095648;7.2;0
99;387.626522;2.2;0
100;426.06041;0.0;0
101;424.067652;0.0;0
102;411.271513;4.7;0
103;418.082055;0.0;0
104;406.190294;0.0;0
105;417.92695;0.0;0
106;404.983051;0.0;0
107;402.09553;0.0;0
108;412.110017;1.7;0
109;411.506449;2.2;0
110;376.039558;3.9;0
111;413.834972;1.8;0
112;418.19146;0.0;0
113;399.107528;1.9;0
114;395.734952;0.0;0
115;398.079399;1.9;0
116;392.297243;0.0;0
117;418.109645;0.0;0
118;411.072679;4.2;0
119;412.134547;0.0;0
120;428.10555;0.0;0
121;394.226488;1.9;0
122;420.21179;1.8;0
123;400.350829;0.0;0
124;412.376479;0.0;0
125;424.573207;0.0;0
126;405.414092;3.5;0
127;383.801498;4.6;0
128;395.168074;0.0;0
129;398.046945;0.0;0
130;415.316933;0.0;0
131;415.056013;2.3;0
132;416.145088;4.6;0
133;399.290114;0.0;0
134;406.173515;6.1;0
135;394.521355;0.0;0
136;419.0268;1.4;0
137;402.158729;3.3;0
138;408.096755;2.6;0
139;405.130088;0.0;0
140;416.724024;1.2;0
141;425.314639;3.3;0
142;418.919832;0.0;0
143;418.146914;3.2;0
144;401.335488;1.4;0
