Delegado;Tiempo de respuesta;Uso de CPU;Transacciones perdidas
0;499.75544;1.0;0
1;464.384451;3.9;0
2;402.583952;3.0;0
3;426.139613;1.9;0
4;407.776398;4.9;0
5;427.110091;1.9;0
6;411.571141;1.9;0
7;423.009131;3.6;0
8;416.416186;5.7;0
9;424.637506;0.9;0
10;417.501404;0.9;0
11;400.899285;0.9;0
12;416.38471;0.9;0
13;420.682998;0.9;0
14;416.516193;0.9;0
15;423.101371;0.9;0
16;425.216627;0.9;0
17;395.340624;1.9;0
18;407.545367;0.9;0
19;401.409656;0.0;0
20;425.462867;0.9;0
21;423.301801;1.8;0
22;413.209606;0.9;0
23;412.544619;0.0;0
24;431.308167;0.9;0
25;398.437822;0.9;0
26;396.491357;1.9;0
27;400.192758;0.0;0
28;408.351639;0.9;0
29;393.459341;1.9;0
30;401.844148;0.0;0
31;405.774403;0.0;0
32;405.493984;0.9;0
33;415.431951;0.0;0
34;426.158456;0.0;0
35;417.735963;0.0;0
36;405.86758;0.0;0
37;421.089541;0.9;0
38;423.123849;1.8;0
39;417.350758;0.9;0
40;424.104482;0.9;0
41;406.212289;0.0;0
42;378.914811;1.0;0
43;412.285453;0.9;0
44;429.598256;1.8;0
45;416.648788;1.9;0
46;406.266314;0.9;0
47;422.593104;1.8;0
48;406.263925;0.9;0
49;400.335241;0.9;0
50;421.240687;0.0;0
51;427.080624;0.0;0
52;417.966054;0.9;0
53;432.654435;1.8;0
54;406.410013;0.9;0
55;394.307218;0.0;0
56;375.127837;1.0;0
57;399.229417;1.9;0
58;417.410866;0.0;0
59;423.780736;0.9;0
60;403.358128;1.9;0
61;425.742807;0.9;0
62;407.187593;0.0;0
63;400.515167;2.9;0
64;419.523238;0.0;0
65;408.557436;0.9;0
66;425.862259;0.0;0
67;412.471276;0.9;0
68;424.280971;0.9;0
69;395.13665;0.0;0
70;424.939484;1.8;0
71;399.166113;0.0;0
72;423.141872;0.0;0
73;388.642738;2.0;0
74;395.348571;1.9;0
75;419.461883;0.0;0
76;418.074829;0.9;0
77;416.091111;0.9;0
78;407.122664;0.0;0
79;416.352713;1.9;0
80;418.614538;0.9;0
81;406.190282;1.9;0
82;412.528061;1.9;0
83;421.155386;0.9;0
84;424.150943;0.0;0
85;403.213422;1.9;0
86;417.104672;0.9;0
87;416.306747;0.0;0
88;422.371285;0.0;0
89;424.123646;1.8;0
90;383.032069;0.0;0
91;404.237947;0.9;0
92;424.090355;0.0;0
93;416.014956;1.8;0
94;411.585175;0.0;0
95;420.775956;0.9;0
96;399.372532;0.9;0
97;416.068031;0.9;0
98;409.121986;0.9;0
99;423.251499;2.8;0
100;409.004681;0.9;0
101;398.339681;0.9;0
102;419.259345;1.8;0
103;378.142702;0.0;0
104;419.303675;4.9;0
105;424.402758;0.0;0
106;403.083402;0.0;0
107;405.057218;0.9;0
108;421.133056;2.7;0
109;424.970208;0.0;0
110;416.142265;0.9;0
111;399.135004;0.9;0
112;401.083465;0.0;0
113;418.355887;1.9;0
114;407.541794;0.0;0
115;399.026686;0.9;0
116;407.512669;0.0;0
117;402.138212;0.9;0
118;416.029156;0.0;0
119;405.355417;1.9;0
120;424.231201;0.0;0
121;423.086919;0.9;0
122;426.259236;0.9;0
123;395.190138;0.9;0
124;418.478423;0.9;0
125;417.914477;0.9;0
126;418.232021;1.8;0
127;427.938555;0.0;0
128;418.473904;0.0;0
129;419.667624;1.8;0
130;419.525184;0.0;0
131;419.518745;0.0;0
132;399.044205;0.0;0
133;411.663581;0.9;0
134;419.272689;0.0;0
135;419.294239;2.8;0
136;410.974246;1.9;0
137;408.927121;0.0;0
138;422.080049;0.0;0
139;410.073379;0.9;0
140;392.962352;1.0;0
141;417.048779;0.0;0
142;400.334627;0.0;0
143;402.107771;0.0;0
144;420.436679;0.0;0
145;423.143483;0.9;0
146;411.287123;0.0;0
147;424.461936;0.9;0
148;404.309581;1.9;0
149;428.135;1.8;0
150;394.268932;0.0;0
151;416.343303;1.9;0
152;405.149656;0.9;0
153;398.383495;0.9;0
154;388.865066;2.0;0
155;396.953441;1.0;0
156;400.10269;1.0;0
157;395.994271;1.0;0
158;416.185323;0.0;0
159;399.111781;1.9;0
160;408.428394;1.9;0
161;420.175;0.9;0
162;430.135695;0.0;0
163;412.169354;0.0;0
164;422.013814;0.0;0
165;413.136582;0.0;0
166;422.070803;1.8;0
167;401.835454;0.9;0
168;405.158703;0.9;0
169;417.121889;0.0;0
170;419.141711;1.8;0
171;421.222144;0.9;0
172;410.982026;3.8;0
173;422.282572;0.0;0
174;416.336014;0.0;0
175;418.971299;0.0;0
176;414.190743;0.0;0
177;424.983233;0.0;0
178;400.037332;0.9;0
179;398.984273;0.0;0
180;422.97038;0.0;0
181;422.877875;0.9;0
182;417.128179;0.0;0
183;411.084081;1.9;0
184;432.163897;0.9;0
185;403.121994;0.0;0
186;394.069186;0.0;0
187;422.21042;0.9;0
188;421.286898;1.8;0
189;419.037113;3.8;0
190;394.312165;0.9;0
191;400.714657;1.0;0
192;416.985966;1.8;0
193;419.227118;0.0;0
194;404.226076;0.9;0
195;419.252452;1.9;0
196;418.38897;1.8;0
197;400.028999;0.9;0
198;419.258812;0.9;0
199;410.811686;0.0;0
