Delegado;Tiempo de respuesta;Uso de CPU;Transacciones perdidas
1;488.876519;0.0;0
0;534.273082;1.0;0
2;424.470465;5.2;0
3;415.014464;0.0;0
5;399.237183;6.9;0
4;424.457288;33.3;0
6;406.30396;5.0;0
7;416.719537;0.0;0
8;376.169693;3.3;0
9;416.520937;7.1;0
10;419.095511;5.6;0
11;418.413486;0.0;0
12;399.266866;1.1;0
13;401.169278;0.0;0
14;431.037516;5.5;0
15;421.889843;6.2;0
16;417.185893;1.1;0
17;398.833703;0.0;0
18;426.621724;3.1;0
19;416.34017;0.0;0
20;419.476534;1.0;0
21;419.848267;0.0;0
22;411.085318;1.0;0
23;419.606225;0.0;0
24;423.665684;5.2;0
25;414.520674;0.0;0
26;411.040343;1.0;0
27;423.267011;0.0;0
28;392.16103;2.1;0
29;417.227536;6.2;0
30;422.884453;1.1;0
31;425.907093;0.0;0
32;407.272147;1.1;0
33;423.298953;0.0;0
34;384.07732;1.3;0
35;429.757657;0.0;0
36;416.436996;2.7;0
37;429.400129;0.0;0
38;394.882285;1.5;0
39;382.285831;2.8;0
40;425.309361;4.2;0
41;418.302066;0.0;0
42;416.989737;2.7;0
43;400.533585;0.0;0
44;417.220441;1.3;0
45;415.998474;0.0;0
46;412.023633;0.0;0
47;427.858427;3.3;0
48;399.242812;2.8;0
49;418.416864;0.0;0
50;413.970317;1.4;0
51;379.31975;3.4;0
52;415.20335;0.0;0
53;418.973241;0.0;0
54;412.559445;2.5;0
55;417.096051;3.8;0
56;412.332764;0.0;0
57;418.16757;3.7;0
58;419.305595;0.0;0
59;413.678361;0.0;0
60;405.978236;2.5;0
61;378.480068;0.0;0
62;418.264103;1.1;0
63;400.537347;7.1;0
64;422.373529;1.0;0
65;394.962807;0.0;0
66;435.497101;2.9;0
67;416.123325;0.0;0
68;395.313619;1.0;0
69;394.920571;0.0;0
71;410.253568;1.9;0
70;418.223207;0.0;0
72;416.267886;0.9;0
73;419.003653;0.0;0
74;418.436776;0.0;0
75;415.144257;0.0;0
76;409.876814;0.9;0
77;410.53366;0.0;0
78;402.655241;1.9;0
79;411.023807;0.0;0
80;420.038908;1.0;0
81;422.305609;16.6;0
82;401.035336;1.0;0
83;417.073829;0.0;0
84;412.094683;0.0;0
85;419.444527;8.3;0
86;413.833824;1.0;0
87;394.396805;0.0;0
88;398.048477;3.1;0
89;401.217447;0.0;0
90;416.090994;0.0;0
91;421.005342;0.0;0
92;406.031037;1.0;0
93;407.196904;0.0;0
94;420.441108;3.0;0
95;420.802226;0.0;0
96;417.112792;0.0;0
97;398.259271;0.0;0
98;401.693;6.1;0
99;412.002358;0.0;0
100;382.392367;0.0;0
101;400.448876;0.0;0
102;408.40966;2.2;0
103;419.390326;0.0;0
104;416.325177;2.2;0
105;400.47638;0.0;0
106;424.104288;1.0;0
107;401.948979;0.0;0
109;384.437847;0.0;0
108;428.493549;1.0;0
110;423.286569;0.0;0
111;423.185702;33.3;0
113;396.515586;1.9;0
112;415.214089;0.0;0
114;409.518978;2.0;0
115;422.385032;0.0;0
116;417.955221;1.0;0
117;402.669678;0.0;0
118;400.490041;1.0;0
119;402.465659;0.0;0
120;405.207327;1.0;0
121;398.229547;0.0;0
122;422.037269;0.9;0
123;423.111718;0.0;0
124;388.277522;2.0;0
125;417.166179;0.0;0
126;423.866809;1.0;0
127;412.623186;0.0;0
128;417.405736;2.0;0
129;412.238411;0.0;0
130;386.016322;0.0;0
131;419.9648;0.0;0
132;399.241634;0.0;0
133;424.89888;4.7;0
134;393.982243;1.2;0
135;414.884656;0.0;0
136;400.210428;0.0;0
137;427.813289;3.2;0
138;422.119621;1.3;0
139;420.150872;6.4;0
140;424.039356;0.0;0
141;406.092921;0.0;0
142;417.872674;1.2;0
143;426.14905;0.0;0
144;413.066049;1.2;0
145;402.312231;0.0;0
146;415.485099;1.2;0
147;408.327286;4.5;0
148;424.932706;1.1;0
149;429.33115;0.0;0
150;395.270116;1.2;0
151;419.112612;0.0;0
152;416.828361;1.3;0
153;420.935402;0.0;0
154;406.170108;1.3;0
155;418.12783;0.0;0
156;396.147001;0.0;0
157;399.368463;0.0;0
158;380.986992;1.5;0
159;380.123049;3.0;0
160;420.613299;1.4;0
161;417.28288;0.0;0
162;416.023549;0.0;0
163;424.609555;0.0;0
164;421.33595;4.1;0
165;425.07562;0.0;0
166;426.218893;1.3;0
167;416.252852;0.0;0
168;417.032351;2.7;0
169;421.172478;0.0;0
170;421.184545;0.0;0
171;407.347289;3.3;0
172;411.812452;0.0;0
173;422.83505;3.0;0
174;421.302053;1.3;0
175;414.884262;6.6;0
176;410.074517;2.5;0
177;416.193806;0.0;0
178;429.335771;2.5;0
179;399.361226;0.0;0
180;408.231629;3.6;0
181;413.020128;0.0;0
182;399.00578;0.0;0
183;422.004319;0.0;0
184;418.128205;2.5;0
185;405.433116;0.0;0
186;411.095069;0.0;0
187;424.836305;0.0;0
188;424.077661;2.5;0
189;419.099585;3.8;0
190;401.183841;1.2;0
191;422.225131;0.0;0
192;425.081704;1.3;0
193;405.72592;0.0;0
194;424.598549;2.5;0
195;388.074915;22.2;0
196;416.938539;0.0;0
197;405.392754;0.0;0
198;425.277242;2.1;0
199;398.11045;0.0;0
201;379.701718;0.0;0
200;411.051558;1.0;0
202;375.12878;1.0;0
203;423.464173;0.0;0
204;412.01751;6.4;0
205;417.441571;0.0;0
206;413.129111;0.0;0
207;393.932362;0.0;0
208;421.782174;1.0;0
209;420.741234;11.1;0
210;399.029393;0.0;0
211;414.101925;0.0;0
212;409.275932;2.1;0
213;417.051628;0.0;0
214;424.851574;0.0;0
215;422.961166;0.0;0
216;406.122828;1.1;0
217;414.231728;0.0;0
218;410.533637;1.1;0
219;394.747186;6.2;0
220;407.218661;0.0;0
221;418.159105;0.0;0
222;423.03478;2.2;0
223;404.93918;6.6;0
224;393.282807;2.3;0
225;417.930857;5.5;0
226;428.848317;1.1;0
227;399.30911;7.6;0
228;411.898021;1.0;0
229;400.896863;0.0;0
230;416.928617;0.0;0
231;407.022606;20.0;0
232;417.281857;0.9;0
233;412.972423;0.0;0
234;401.465914;2.9;0
235;415.957518;0.0;0
236;420.869073;0.0;0
237;397.762406;0.0;0
239;395.910745;1.0;0
238;424.048727;0.0;0
240;417.121907;0.0;0
241;419.636446;0.0;0
242;403.758226;1.0;0
243;419.946845;10.0;0
244;406.87455;1.0;0
245;424.256741;7.1;0
246;400.067695;1.1;0
247;418.888038;0.0;0
248;393.276838;2.4;0
249;417.966988;0.0;0
250;425.58816;0.0;0
251;426.22212;0.0;0
252;418.065296;6.0;0
253;395.342402;0.0;0
254;417.248409;2.2;0
255;395.744842;0.0;0
256;397.346143;2.2;0
257;426.174333;0.0;0
258;393.914528;1.2;0
259;424.348512;0.0;0
260;398.294495;1.3;0
261;413.836965;0.0;0
262;419.024126;1.3;0
263;400.011051;0.0;0
264;419.973577;1.2;0
265;404.013101;0.0;0
266;418.787451;1.1;0
267;395.9008;0.0;0
268;397.954706;1.1;0
269;413.126845;0.0;0
270;417.027191;1.1;0
271;412.401897;0.0;0
272;415.78533;0.0;0
273;415.846461;0.0;0
274;406.220152;0.0;0
275;398.926334;0.0;0
276;423.014175;1.1;0
277;417.914687;0.0;0
278;401.913128;0.0;0
279;405.015906;0.0;0
280;394.752096;2.3;0
281;415.861389;4.7;0
282;416.761609;1.1;0
283;415.936934;0.0;0
284;387.865381;1.2;0
285;393.136995;4.1;0
286;418.053849;1.2;0
287;406.303889;4.3;0
288;419.264713;2.3;0
289;423.24544;0.0;0
290;419.90975;0.0;0
291;401.034909;0.0;0
292;401.866621;0.0;0
293;418.720897;0.0;0
294;416.151179;1.1;0
295;414.98966;0.0;0
296;408.897417;1.2;0
297;418.933023;0.0;0
298;385.495395;2.6;0
299;401.125399;0.0;0
300;415.940347;0.0;0
301;376.745713;5.0;0
302;427.596239;0.0;0
303;404.217226;0.0;0
304;428.129036;1.0;0
305;412.013657;0.0;0
306;424.451736;0.0;0
307;400.788911;0.0;0
308;407.99892;0.9;0
309;417.957025;0.0;0
310;402.189463;0.0;0
311;406.104688;0.0;0
312;399.894909;0.0;0
313;406.973437;0.0;0
314;394.037641;2.0;0
315;420.918477;0.0;0
316;385.058785;1.1;0
317;423.304725;0.0;0
318;401.581674;1.2;0
319;400.475066;0.0;0
320;382.174886;0.0;0
321;407.149253;3.5;0
322;399.012365;1.3;0
323;420.22219;0.0;0
324;420.180564;1.4;0
325;388.985057;3.4;0
326;414.121295;1.3;0
327;420.140281;6.4;0
328;392.090632;0.0;0
329;381.923313;3.5;0
330;421.805225;0.0;0
331;419.120278;3.5;0
332;424.977004;2.5;0
333;413.227211;0.0;0
334;412.071964;0.0;0
335;424.512776;0.0;0
336;401.368502;0.0;0
337;413.907985;0.0;0
338;412.019274;1.3;0
339;418.051989;0.0;0
340;423.14662;1.3;0
341;417.972982;0.0;0
342;422.801139;2.7;0
343;413.069607;0.0;0
344;417.938219;1.3;0
345;411.217585;0.0;0
346;387.991961;0.0;0
347;413.078188;0.0;0
348;418.082523;0.0;0
349;395.294822;2.9;0
350;401.065069;1.4;0
351;413.349511;0.0;0
352;406.259941;2.8;0
353;417.844139;0.0;0
354;420.146852;1.4;0
355;415.93923;0.0;0
356;401.898866;0.0;0
357;394.899005;0.0;0
358;400.940048;1.5;0
359;411.963669;2.7;0
360;403.812397;0.0;0
361;404.986138;0.0;0
362;415.2292;2.9;0
363;416.004049;0.0;0
364;415.53265;1.4;0
365;414.009343;2.7;0
366;425.035937;1.4;0
367;416.992626;0.0;0
368;375.616459;4.8;0
369;419.94133;2.2;0
370;423.053423;3.3;0
371;417.255767;0.0;0
372;398.046867;1.8;0
373;417.337276;0.0;0
374;394.024846;2.0;0
375;422.905262;0.0;0
376;421.046082;4.0;0
377;424.503718;1.6;0
378;411.055157;0.0;0
379;399.145374;1.7;0
380;404.333015;2.1;0
381;420.739597;1.6;0
382;424.094248;6.3;0
383;406.234913;1.7;0
384;411.409767;2.0;0
385;421.027645;0.0;0
386;415.93221;2.0;0
387;417.901687;0.0;0
388;407.935519;2.1;0
389;407.172493;0.0;0
390;400.440716;0.0;0
391;416.13787;1.6;0
392;417.068195;0.0;0
393;393.974627;1.7;0
394;394.983289;0.0;0
395;399.959811;3.3;0
396;415.869709;2.1;0
397;398.153416;0.0;0
398;399.429915;2.0;0
399;414.714409;0.0;0
