Delegado;Tiempo de respuesta;Uso de CPU;Transacciones perdidas
1;505.98998;0.0;0
0;539.801178;1.0;0
3;406.891247;4.3;0
2;421.712297;100.0;0
4;416.712037;7.7;0
5;424.70289;0.0;0
6;413.735367;4.0;0
7;402.628858;100.0;0
8;380.425789;3.2;0
9;427.151949;60.0;0
10;419.976973;5.3;0
11;394.436628;10.0;0
12;413.319265;0.0;0
13;414.607872;0.0;0
14;418.978456;2.0;0
15;402.959689;0.0;0
16;403.405383;2.0;0
17;408.306979;0.0;0
18;424.892;2.0;0
19;427.682161;16.6;0
20;399.462043;0.0;0
21;422.525784;10.0;0
22;402.601322;2.1;0
23;399.770352;0.0;0
24;388.127537;0.0;0
25;417.171137;0.0;0
26;422.269534;4.3;0
27;423.811055;0.0;0
28;423.467665;2.1;0
29;421.368461;5.5;0
30;399.865326;1.1;0
31;394.853345;0.0;0
32;423.299139;1.1;0
33;419.451377;0.0;0
34;416.838515;1.1;0
35;400.342129;7.6;0
36;414.60611;1.0;0
37;412.412367;0.0;0
38;378.833478;1.1;0
39;417.607484;9.5;0
40;405.704023;1.2;0
41;405.266944;4.5;0
42;414.340268;1.2;0
43;409.246134;0.0;0
44;425.035794;2.3;0
45;401.569469;6.6;0
46;417.153114;2.1;0
47;401.964904;0.0;0
48;423.54645;3.0;0
49;414.284088;40.0;0
50;402.184637;1.0;0
51;421.540851;10.0;0
52;406.594582;2.1;0
53;423.917858;0.0;0
54;419.089734;0.0;0
55;417.128551;0.0;0
56;422.191936;0.0;0
57;420.01161;7.1;0
58;417.221555;0.0;0
59;423.499988;0.0;0
60;419.098791;2.2;0
61;418.764408;0.0;0
62;419.950988;0.0;0
63;420.866612;11.1;0
64;418.262279;0.0;0
65;414.536511;0.0;0
66;408.342877;1.1;0
67;420.335837;0.0;0
68;417.60243;1.1;0
69;398.090294;0.0;0
70;421.210078;2.1;0
71;400.317213;10.0;0
72;400.27739;1.0;0
73;380.244885;0.0;0
74;425.066108;1.0;0
75;423.395548;0.0;0
76;419.783242;0.9;0
77;419.096719;0.0;0
79;406.206001;0.0;0
78;411.662297;1.9;0
81;406.234585;0.9;0
80;419.107994;33.3;0
82;403.954274;1.0;0
83;409.090682;0.0;0
85;379.141103;1.0;0
84;416.155392;0.0;0
86;421.290539;1.9;0
87;416.104929;0.0;0
89;399.275413;0.0;0
88;424.022521;0.0;0
90;417.233752;1.9;0
91;418.365175;0.0;0
93;405.594687;0.0;0
92;425.421905;50.0;0
94;399.288695;0.0;0
95;424.288986;16.6;0
96;397.170824;1.0;0
97;421.299892;0.0;0
98;399.05434;4.5;0
99;411.491414;0.0;0
100;418.913398;1.1;0
101;399.104907;0.0;0
102;430.679499;1.0;0
103;425.387504;0.0;0
104;400.980465;1.1;0
105;411.925155;0.0;0
106;407.249961;6.8;0
107;380.970526;0.0;0
108;423.12804;2.0;0
109;411.822647;0.0;0
110;398.943735;1.0;0
111;401.001493;0.0;0
112;406.998379;2.0;0
113;403.081171;0.0;0
114;399.47294;1.0;0
115;393.531749;20.0;0
116;422.106329;1.0;0
117;417.119624;0.0;0
118;380.244454;1.0;0
119;424.082893;0.0;0
120;402.081723;0.0;0
121;405.130339;0.0;0
122;412.025107;2.2;0
123;405.263272;0.0;0
124;419.296015;0.0;0
125;421.10652;0.0;0
126;420.626676;2.1;0
127;380.252583;11.1;0
128;423.415676;1.0;0
129;417.419685;0.0;0
130;407.141199;2.0;0
131;417.068629;0.0;0
132;399.256354;1.0;0
133;422.424602;30.7;0
134;411.936511;1.1;0
135;418.218074;0.0;0
136;418.043623;3.3;0
137;406.405497;0.0;0
138;412.024199;1.1;0
139;402.068789;0.0;0
140;407.075158;2.1;0
141;410.969805;0.0;0
142;386.247144;0.0;0
143;418.268424;5.0;0
144;404.033458;3.5;0
145;418.102446;0.0;0
146;430.3682;2.4;0
147;400.431468;5.2;0
148;411.984182;1.1;0
149;418.016736;0.0;0
150;419.309926;2.2;0
151;416.052992;0.0;0
152;420.4312;1.1;0
153;399.155342;0.0;0
154;419.106153;0.0;0
155;398.078569;0.0;0
156;405.183734;0.0;0
157;420.712787;8.3;0
158;381.070691;2.2;0
159;422.433687;0.0;0
160;408.583168;2.5;0
161;399.321952;8.6;0
162;417.106359;2.4;0
163;415.068132;0.0;0
