Delegado;Tiempo de respuesta;Uso de CPU;Transacciones perdidas
0;525.173045;1.6;0
1;420.407474;5.0;0
2;494.727427;8.4;0
3;440.564041;1.8;0
4;436.431826;3.6;0
5;445.16628;2.7;0
6;431.601007;2.7;0
7;424.868911;0.9;0
8;437.273068;7.2;0
9;435.010659;0.9;0
10;436.443819;0.9;0
11;441.20021;0.9;0
12;419.137267;0.0;0
13;417.76163;1.8;0
14;442.219724;0.9;0
15;435.950474;0.9;0
16;427.333492;0.0;0
17;433.742702;0.9;0
18;443.392641;0.0;0
19;412.25097;0.0;0
20;428.691435;1.8;0
21;434.912128;0.0;0
22;423.296147;0.9;0
23;435.24998;0.9;0
24;437.943861;0.9;0
25;441.270037;0.0;0
26;417.253178;0.0;0
27;436.758028;0.0;0
28;435.254546;0.9;0
29;435.51652;0.0;0
30;417.634795;0.9;0
31;417.912199;0.0;0
32;434.245136;0.9;0
33;412.476932;0.0;0
34;435.528522;0.9;0
35;434.662262;0.0;0
36;440.215354;0.0;0
37;438.464285;0.9;0
38;442.280942;0.9;0
39;438.835458;1.7;0
40;438.202939;0.9;0
41;429.170295;0.9;0
42;447.986101;0.9;0
43;442.033064;1.8;0
44;406.240846;0.0;0
45;448.155633;0.9;0
46;441.045018;0.0;0
47;436.541301;0.0;0
48;439.384544;1.7;0
49;434.038976;2.7;0
50;436.236891;0.9;0
51;439.250878;0.9;0
52;441.028537;0.0;0
53;438.127993;0.9;0
54;439.396242;0.0;0
55;435.995555;0.9;0
56;437.146458;0.9;0
57;420.845143;0.9;0
58;441.692455;0.9;0
59;435.305083;0.9;0
60;425.423885;0.0;0
61;437.383194;0.0;0
62;434.756517;0.0;0
63;435.254889;1.8;0
64;441.389938;0.0;0
65;429.373023;0.0;0
66;430.094046;0.9;0
67;430.982348;0.9;0
68;423.153542;0.9;0
69;433.261493;0.9;0
70;442.46794;0.9;0
71;434.224382;0.9;0
72;435.048732;1.7;0
73;435.061759;0.0;0
74;428.026041;0.0;0
75;436.334826;0.9;0
76;435.10494;3.6;0
77;416.008842;0.9;0
78;431.143685;0.9;0
79;431.080255;0.0;0
80;436.250202;0.9;0
81;429.101705;1.8;0
82;419.105399;0.0;0
83;431.534358;0.9;0
84;437.042842;0.0;0
85;436.961306;0.9;0
86;436.154299;1.8;0
87;420.339807;0.0;0
88;422.289065;0.0;0
89;434.885984;0.9;0
90;436.132046;0.0;0
91;415.003191;0.0;0
92;418.418679;0.9;0
93;435.053231;0.0;0
94;435.056199;0.8;0
95;448.970454;0.9;0
96;425.513729;0.9;0
97;434.615148;0.0;0
98;433.110438;0.9;0
99;438.704301;4.5;0
100;435.058723;0.0;0
101;413.054826;0.0;0
102;412.060568;0.9;0
103;434.104356;0.0;0
104;443.999345;0.9;0
105;435.060795;0.9;0
106;436.331751;0.9;0
107;434.766417;1.7;0
108;436.099632;0.0;0
109;436.334316;0.0;0
110;413.0051;1.8;0
111;436.447145;1.8;0
112;430.938757;0.0;0
113;440.974976;0.0;0
114;432.997933;0.9;0
115;439.134819;0.9;0
116;433.344249;0.9;0
117;442.108106;1.7;0
118;429.077433;0.0;0
119;439.048345;0.0;0
120;426.496858;0.9;0
121;428.255012;0.9;0
122;436.052163;0.0;0
123;444.978582;0.0;0
124;417.398052;0.9;0
125;416.927394;0.9;0
126;660.757675;1.5;0
127;436.687772;0.9;0
128;436.201724;0.0;0
129;433.246688;0.9;0
130;430.206604;0.9;0
131;434.892848;0.9;0
132;433.096909;0.9;0
133;437.965975;0.0;0
134;423.282466;0.0;0
135;440.829542;0.9;0
136;418.799728;1.8;0
137;437.661982;0.9;0
138;437.084463;0.9;0
139;429.278837;0.0;0
140;430.134129;0.9;0
141;417.260014;0.0;0
142;435.014991;0.9;0
143;436.088103;0.0;0
144;418.975209;0.0;0
145;432.504115;0.0;0
146;435.371556;0.9;0
147;440.747837;0.9;0
148;422.007901;0.9;0
149;434.979374;2.7;0
150;434.995625;0.9;0
151;430.999056;0.9;0
152;435.961539;0.0;0
153;432.946961;1.8;0
154;437.016891;0.0;0
155;434.026456;0.9;0
156;437.396593;0.0;0
157;436.922102;0.0;0
158;416.974702;0.0;0
159;417.018443;0.0;0
160;436.06718;0.9;0
161;431.458666;0.0;0
162;437.046411;0.0;0
163;410.964937;0.0;0
164;414.023398;0.9;0
165;440.426981;0.0;0
166;439.679559;0.9;0
167;444.156228;0.9;0
168;429.265321;0.0;0
169;437.221655;0.9;0
170;420.10529;1.8;0
171;435.418292;1.8;0
172;436.013198;0.0;0
173;435.114904;0.0;0
174;435.72265;0.9;0
175;423.070892;0.9;0
176;428.022774;0.9;0
177;436.995297;0.0;0
178;416.14619;0.9;0
179;416.310407;0.9;0
180;415.050819;0.0;0
181;430.244279;0.9;0
182;392.099129;0.0;0
183;436.254377;0.0;0
184;422.284505;0.9;0
185;438.90122;0.9;0
186;445.015006;0.0;0
187;446.786451;2.6;0
188;431.690474;0.0;0
189;441.074321;0.9;0
190;435.650619;0.9;0
191;439.735812;0.9;0
192;436.043835;3.6;0
193;413.348089;0.9;0
194;436.825448;0.9;0
195;425.969626;0.0;0
196;435.607271;0.0;0
197;429.917601;0.0;0
198;434.205242;0.9;0
199;426.357857;0.9;0
200;435.925923;0.0;0
201;433.965928;0.9;0
202;433.002646;0.9;0
203;435.254767;2.7;0
204;417.149042;0.9;0
205;428.98267;1.8;0
206;412.829195;0.0;0
207;429.164846;0.9;0
208;434.1788;0.0;0
209;428.945079;1.8;0
210;423.929165;0.0;0
211;410.966607;0.9;0
212;437.620771;0.0;0
213;435.225364;0.0;0
214;421.948446;1.8;0
215;429.933906;0.0;0
216;412.879315;0.0;0
217;435.828297;1.8;0
218;427.26607;0.0;0
219;415.903802;0.0;0
220;435.367363;0.0;0
221;419.092373;0.0;0
222;432.104048;0.9;0
223;441.251356;0.9;0
224;435.149318;1.8;0
225;434.583592;1.8;0
226;435.004552;0.9;0
227;418.106524;0.0;0
228;395.054168;0.9;0
229;436.026074;0.9;0
230;435.286501;0.0;0
231;440.045314;0.9;0
232;417.080711;0.0;0
233;411.039305;0.0;0
234;431.06597;0.9;0
235;431.316277;0.0;0
236;436.919951;0.9;0
237;432.938572;1.8;0
238;433.981592;0.9;0
239;436.316862;0.9;0
240;436.185495;0.0;0
241;411.703918;1.8;0
242;417.040511;0.0;0
243;433.955488;0.9;0
244;434.903366;0.0;0
245;434.607818;0.9;0
246;434.921508;0.0;0
247;412.928435;1.8;0
248;436.856232;0.0;0
249;430.881163;0.0;0
250;426.225668;0.9;0
251;439.842115;0.0;0
252;428.921116;1.8;0
253;434.997643;0.9;0
