Delegado;Tiempo de respuesta;Uso de CPU;Transacciones perdidas
1;554.547452;0.0;0
0;617.870675;1.0;0
2;417.527115;5.3;0
3;425.43303;0.0;0
4;413.953189;4.1;0
5;399.312996;0.0;0
6;404.3459;5.1;0
7;416.485735;12.5;0
8;407.104088;7.3;0
9;416.969951;0.0;0
10;392.305469;5.6;0
11;399.471252;7.6;0
12;404.382418;1.1;0
13;430.563215;5.5;0
14;400.44686;4.7;0
15;428.850373;0.0;0
16;422.533742;8.7;0
17;406.37438;0.0;0
18;407.573204;6.2;0
19;385.629803;0.0;0
20;423.027008;2.2;0
21;383.398939;0.0;0
22;419.488242;1.0;0
23;401.811752;0.0;0
24;407.667066;0.0;0
25;418.201338;0.0;0
26;422.437546;1.9;0
27;411.792481;0.0;0
28;408.210606;1.0;0
29;417.13916;0.0;0
30;425.498031;2.9;0
31;411.851613;100.0;0
33;393.217301;2.0;0
32;423.604532;25.0;0
34;417.936815;1.0;0
35;427.18247;0.0;0
36;415.957157;1.0;0
37;418.386743;10.0;0
38;400.210771;0.0;0
39;383.144622;0.0;0
40;404.577258;1.0;0
41;394.122268;16.6;0
42;414.509066;1.0;0
43;405.170229;0.0;0
45;405.326598;0.9;0
44;421.254589;0.0;0
46;403.256027;1.0;0
47;432.57322;11.1;0
48;398.025889;1.0;0
49;403.953867;10.0;0
50;399.463901;2.2;0
51;423.420397;0.0;0
52;422.005285;1.1;0
53;425.039332;5.5;0
54;393.589697;1.2;0
55;399.299994;0.0;0
56;415.487333;1.2;0
57;426.71856;4.3;0
58;400.136395;1.2;0
59;406.365941;4.0;0
60;405.143847;3.8;0
61;424.175379;0.0;0
62;389.986456;1.4;0
63;405.714636;3.1;0
64;418.657242;2.7;0
65;418.483457;3.0;0
66;410.131454;0.0;0
67;417.938952;0.0;0
68;397.367552;1.4;0
69;419.323705;2.7;0
70;408.042369;3.0;0
71;399.357202;0.0;0
72;419.072985;0.0;0
73;394.184231;3.0;0
74;414.759539;1.3;0
75;405.432855;0.0;0
76;412.118512;0.0;0
77;417.129129;0.0;0
78;398.163645;0.0;0
79;413.583026;2.9;0
80;398.387353;0.0;0
81;419.160788;2.5;0
82;398.447858;1.6;0
83;418.232844;0.0;0
84;388.014446;1.7;0
85;423.636589;0.0;0
86;416.347695;1.8;0
87;400.207537;2.0;0
88;420.252974;1.7;0
89;401.517834;0.0;0
90;402.02859;0.0;0
91;399.860341;0.0;0
92;392.235659;1.7;0
93;416.445345;0.0;0
94;393.261097;0.0;0
95;426.943418;1.8;0
96;396.43819;2.2;0
97;418.110042;0.0;0
98;423.141877;4.5;0
99;421.053596;4.9;0
100;416.287168;4.4;0
101;395.290416;0.0;0
102;406.261024;2.1;0
103;419.452932;0.0;0
104;398.400781;2.3;0
105;397.466421;3.2;0
106;426.188283;2.1;0
107;418.056749;0.0;0
108;412.958201;2.1;0
109;429.186374;1.6;0
110;418.033287;0.0;0
111;416.791554;1.6;0
112;398.588026;0.0;0
113;427.940961;1.4;0
114;419.104653;0.0;0
115;424.742758;0.0;0
116;398.114806;5.8;0
117;420.550978;0.0;0
118;408.483763;3.5;0
119;411.537967;0.0;0
120;420.256496;3.4;0
121;407.792246;0.0;0
122;424.360013;3.0;0
123;416.394185;0.0;0
124;416.265969;0.0;0
125;418.857656;1.3;0
126;400.688286;0.0;0
127;419.49586;1.2;0
128;417.066647;0.0;0
129;419.627668;4.8;0
130;398.101366;0.0;0
131;421.599997;2.3;0
132;413.088783;11.1;0
133;398.290674;0.0;0
134;424.951934;0.0;0
135;434.969968;3.4;0
136;411.254208;0.0;0
137;415.202716;1.1;0
138;386.227072;14.2;0
139;417.237438;0.0;0
140;400.109904;0.0;0
141;417.222395;2.0;0
142;422.978131;14.2;0
143;386.094963;2.1;0
144;417.787432;0.0;0
145;419.3642;1.0;0
146;405.215057;0.0;0
147;421.2793;3.1;0
148;405.972108;0.0;0
149;407.243843;0.0;0
150;400.12085;0.0;0
152;385.485877;1.0;0
151;415.939115;100.0;0
153;399.46183;2.0;0
154;416.298962;0.0;0
155;398.081628;3.1;0
156;414.070132;0.0;0
157;410.430219;0.0;0
158;422.093458;0.0;0
159;414.410332;1.1;0
160;417.432737;0.0;0
161;423.006299;2.1;0
162;397.367367;0.0;0
163;419.279142;2.0;0
164;391.349894;0.0;0
165;395.125821;2.0;0
166;424.307108;0.0;0
167;418.431161;2.0;0
168;415.540571;0.0;0
169;425.166691;0.0;0
170;417.634932;0.0;0
171;417.63951;2.0;0
172;403.164419;0.0;0
174;398.987741;0.9;0
173;416.008412;0.0;0
